"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
"10/23/2023 17:39:57 +00:00","kraytdragon",336698836,"Jonesmalones",2700000,26
"10/23/2023 17:39:57 +00:00","kraytdragon",793549187,"Dârth Jungle Asian",3156162,18
"10/23/2023 17:39:57 +00:00","kraytdragon",299292257,"G4reth",3353384,15
"10/23/2023 17:39:57 +00:00","kraytdragon",396743814,"Rhil Margos",2329563,30
"10/23/2023 17:39:57 +00:00","kraytdragon",452518631,"Puck",3150000,19
"10/23/2023 17:39:57 +00:00","kraytdragon",625367959,"Blattu",4068585,10
"10/23/2023 17:39:57 +00:00","kraytdragon",346854538,"Tyron Brandt",5867400,1
"10/23/2023 17:39:57 +00:00","kraytdragon",118679749,"manolis",1800000,35
"10/23/2023 17:39:57 +00:00","kraytdragon",678195521,"XCAL",4570066,4
"10/23/2023 17:39:57 +00:00","kraytdragon",597271922,"Scof",1442580,41
"10/23/2023 17:39:57 +00:00","kraytdragon",855527258,"BobaChuck91",1786777,37
"10/23/2023 17:39:57 +00:00","kraytdragon",858966128,"T",2700000,25
"10/23/2023 17:39:57 +00:00","kraytdragon",475136137,"WharfRat",4487446,7
"10/23/2023 17:39:57 +00:00","kraytdragon",371731743,"Trask droll",4875340,3
"10/23/2023 17:39:57 +00:00","kraytdragon",312478199,"Taco Hat",1773408,38
"10/23/2023 17:39:57 +00:00","kraytdragon",471792187,"Geralt of Rivia",921117,49
"10/23/2023 17:39:57 +00:00","kraytdragon",924462567,"non7top",2283708,31
"10/23/2023 17:39:57 +00:00","kraytdragon",124165769,"Tyrian",1332412,44
"10/23/2023 17:39:57 +00:00","kraytdragon",334861731,"JediAhsoka",1274131,46
"10/23/2023 17:39:57 +00:00","kraytdragon",389689423,"ArtVandalay",1711386,39
"10/23/2023 17:39:57 +00:00","kraytdragon",454629175,"Delara Exibil",4003346,11
"10/23/2023 17:39:57 +00:00","kraytdragon",556839255,"Jeeves",2369862,29
"10/23/2023 17:39:57 +00:00","kraytdragon",729916753,"Squanchy420",1200000,47
"10/23/2023 17:39:57 +00:00","kraytdragon",964121997,"DarthDax",3326828,16
