CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score,SpecialResults
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,712146515,Zick,â¦Zickâ©#0282,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,741436451,Rensalaer,Rensalaer#5984,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,452956267,Zazztrain,zazztrain#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,473794447,ItzBerndern,ItzBerndern#5396,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,715487269,C2,kitsura,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,295928884,Akbahr,akbahr#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,363639736,FateHydro,EricE#9019,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,863697863,Mega Kicagemon,orthodoxrebel#0000,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,944998814,Philadelphia Collins,_philadelphiacollins#0000,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,665525861,Laseracid,â¦laseracidâ©#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,741489737,Mc,Mc#4119,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,275475314,SithKebab,pooba#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,453925665,N7 Tesla,n7tesla#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,751425437,Mugami Chinzano,theflig#9620,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,262663538,Daggo,Daggo#4474,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,716951122,MINI Mace Dymond,dymo0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,289231731,Pflapjack,pflapjack#8956,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,235598485,rockoffanddie,rockoffanddie#5252,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,712815396,MINIxur'kthan,xurkthan#3544,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,285458979,OhMyPretzel,ohmypretzel,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,788557913,s0da p0pinski,s0da_p0pinski#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,436482977,PaulB086,paulb086#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,341125679,8,8........#0588,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,472927571,DocWho619,docwhoSD#3664,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,611865263,Salvare,Salvare#2619,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,452956267,Zazztrain,zazztrain#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,795112941,Rh Factor,Rich Howley#2806,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,473794447,ItzBerndern,ItzBerndern#5396,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,715487269,C2,kitsura,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,187142131,Digolo Doorjam,Digolo doorjam#3841,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,396314914,Trate Daxson,â¦TrateDaxsonâ©#7855,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,363639736,FateHydro,EricE#9019,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,863697863,Mega Kicagemon,orthodoxrebel#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,944998814,Philadelphia Collins,_philadelphiacollins#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,741489737,Mc,Mc#4119,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,275475314,SithKebab,pooba#0000,18,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict01,453925665,N7 Tesla,n7tesla#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,178927387,Mr Blargh,Blaaaarrrrrrggggghhhhh#1496,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,262663538,Daggo,Daggo#4474,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,716951122,MINI Mace Dymond,dymo0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,289231731,Pflapjack,pflapjack#8956,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,712815396,MINIxur'kthan,xurkthan#3544,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,285458979,OhMyPretzel,ohmypretzel,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,662698148,Wabba Dejabba,recon224#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,788557913,s0da p0pinski,s0da_p0pinski#0000,7,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,341125679,8,8........#0588,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,472927571,DocWho619,docwhoSD#3664,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,611865263,Salvare,Salvare#2619,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,795112941,Rh Factor,Rich Howley#2806,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase03_conflict02,452956267,Zazztrain,zazztrain#0000,2,
